Seuence,CZB_ID,RR_ID,n_atcg,avg_depth ,mapped_reads,assay,ct
SEQ_071,RR065e_04619,RR065,11585,98.689,,SC2,29.6
SEQ_071,RR065e_04620,RR065,17470,90.004,,SC2,27.6
SEQ_071,RR065e_04621,RR065,673,1.248,,SC2,29.4
SEQ_071,RR065e_04622,RR065,16633,12.914,,SC2,30.1
SEQ_071,RR065e_04623,RR065,12898,10.125,,SC2,26.9
SEQ_071,RR065e_04624,RR065,1504,5.426,,SC2,32.2
SEQ_071,RR065e_04625,RR065,21033,100.044,,SC2,28.8
SEQ_071,RR065e_04626,RR065,3293,11.463,,SC2,32.2
SEQ_071,RR065e_04627,RR065,375,1.369,,SC2,32.7
SEQ_071,RR065e_04628,RR065,1879,5.049,,SC2,29
SEQ_071,RR065e_04629,RR065,0,0,,SC2,32.5
SEQ_071,RR065e_04634,RR065,25187,361.059,,SC2,32.1
SEQ_071,RR065e_04637,RR065,15938,104.34,,SC2,31.1
SEQ_071,RR065e_04638,RR065,9796,287.986,,SC2,18.8
SEQ_071,RR065e_04639,RR065,2308,17.799,,SC2,22.5
SEQ_071,RR065e_04646,RR065,2622,2.933,,SC2,29.3
SEQ_071,RR065e_04647,RR065,26699,377.03,,SC2,27.4
SEQ_071,RR065e_04649,RR065,8742,21.995,,SC2,28.1
SEQ_071,RR065e_04650,RR065,14622,48.239,,SC2,25.3
SEQ_071,RR065e_04652,RR065,23582,333.534,,SC2,24.7
SEQ_071,RR065e_04653,RR065,24409,129.617,,SC2,29.1
SEQ_071,RR065e_04654,RR065,27380,1687.863,,SC2,26.2
SEQ_071,RR065e_04655,RR065,479,0.905,,SC2,31.4
SEQ_071,RR065e_04656,RR065,27300,373.615,,SC2,25.4
SEQ_071,RR065e_04657,RR065,21293,346.982,,SC2,23.5
SEQ_071,RR065e_04658,RR065,26763,170.865,,SC2,29.1
SEQ_071,RR065e_04661,RR065,20963,282.929,,SC2,32.1
SEQ_071,RR065e_04662,RR065,27310,808.46,,SC2,29
SEQ_071,RR065e_04668,RR065,9510,23.969,,SC2,30.2
SEQ_071,RR065e_04670,RR065,1972,6.827,,SC2,30.7
SEQ_071,RR065e_04677,RR065,2928,11.544,,SC2,14.9
