sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04102_W-R214-H7_O13_S207	272.566	59980	1740890	24842	4949	0	17	25	0	0	0.000	0.000	0.000	31.000	144.000	343.000	0.832	0.755	0.755	0.588	59817	53360	6262	8
RR065e_04103_W-R214-A8_A15_S225	23.603	5295	2071542	9148	19738	0	6	9	0	0	0.000	0.000	0.000	0.000	0.000	19.000	0.306	0.197	0.197	0.064	5271	4574	642	2
RR065e_04104_W-R214-B8_C15_S227	5806.080	1396617	1922870	29775	125	0	3	25	0	0	61.020	1685.100	2598.000	3823.000	5384.000	7429.500	0.996	0.994	0.994	0.989	1391062	1070842	319470	2126
RR065e_04105_W-R214-C8_E15_S229	0.853	190	916358	643	28673	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.012	0.012	0.000	190	166	20	0
RR065e_04106_W-R214-D8_G15_S231	272.729	63846	287162	26220	3574	0	19	16	0	0	0.000	1.000	6.000	37.000	132.000	325.000	0.878	0.777	0.777	0.575	63596	50810	12594	32
RR065e_04107_W-R214-E8_I15_S233	806.771	187177	496624	27326	2519	0	9	19	0	0	0.000	2.000	18.000	157.000	570.000	1223.000	0.914	0.878	0.878	0.791	186605	151144	35232	164
RR065e_04108_W-R214-F8_K15_S235	1710.051	403446	1444208	24856	4968	0	7	15	0	0	0.000	0.000	3.000	26.000	315.000	1891.000	0.831	0.736	0.736	0.604	401732	322616	78870	700
RR065e_04109_W-R214-G8_M15_S237	8.054	1802	2325542	3620	25686	0	1	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.073	0.073	0.017	1793	1526	250	0
RR065e_04110_W-R214-H8_O15_S239	4040.265	879592	1472676	29302	549	0	0	23	0	0	0.000	153.000	741.000	1771.000	3421.000	5504.500	0.980	0.958	0.958	0.952	877005	803270	73478	390
RR065e_04111_W-R214-A9_A17_S257	8.421	1891	487178	4040	25475	0	4	8	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.135	0.066	0.066	0.024	1882	1646	214	0
RR065e_04112_W-R214-B9_C17_S259	3015.111	714993	1414478	29389	443	0	3	24	0	0	1.020	117.000	677.000	1446.000	2522.000	4031.000	0.983	0.970	0.970	0.951	712197	562446	149114	1280
RR065e_04113_W-R214-C9_E17_S261	1110.201	248746	430972	28230	1586	0	3	18	0	0	0.000	6.000	48.000	288.000	751.000	1582.000	0.944	0.923	0.923	0.851	248038	216822	31004	164
RR065e_04114_W-R214-D9_G17_S263	175.835	40359	49608	27415	2398	0	2	20	0	0	0.000	3.000	15.000	95.000	164.000	240.000	0.917	0.873	0.873	0.740	40233	33276	6762	32
RR065e_04115_W-R214-E9_I17_S265	0.288	72	55746	257	29465	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	70	50	20	0
RR065e_04116_W-R214-F9_K17_S267	11.518	2750	456480	2614	26886	0	2	2	0	0	0.000	0.000	0.000	0.000	0.000	1.000	0.087	0.052	0.052	0.028	2735	2110	570	4
RR065e_04117_W-R214-G9_M17_S269	1274.893	282015	783312	25254	4539	0	6	22	0	0	0.000	0.000	3.000	34.000	325.000	1573.000	0.845	0.759	0.759	0.663	281192	250716	30242	108
RR065e_04118_W-R214-H9_O17_S271	46.654	10260	1113440	12725	16886	0	5	12	0	0	0.000	0.000	0.000	0.000	2.000	61.000	0.426	0.334	0.334	0.171	10237	9108	1016	0
RR065e_04119_W-R214-A10_A19_S289	5808.438	1268936	2119540	29814	43	0	2	19	0	0	43.000	706.000	1885.400	3487.500	5299.000	7690.500	0.997	0.995	0.995	0.981	1265709	1151740	113752	556
RR065e_04120_W-R214-B10_C19_S291	5825.863	1396405	2209400	29553	342	0	4	25	0	0	7.000	155.000	484.000	3011.000	5367.000	8142.500	0.988	0.973	0.973	0.959	1390338	1077996	311300	2422
RR065e_04121_W-R214-C10_E19_S293	3684.745	822292	1106522	29505	319	0	5	23	0	0	0.000	82.000	538.000	1902.000	3343.000	5041.000	0.987	0.975	0.975	0.942	819949	718420	101156	534
RR065e_04122_W-R214-D10_G19_S295	4747.511	1092282	1343094	29598	263	0	1	20	0	0	8.000	540.000	1358.200	2996.000	4522.000	6233.500	0.990	0.988	0.988	0.980	1088633	906158	181814	1142
RR065e_04123_W-R214-E10_I19_S297	226.658	53212	140908	27236	2572	0	8	27	0	0	0.000	4.000	12.000	56.000	136.000	291.000	0.912	0.829	0.829	0.603	53068	42218	10646	22
RR065e_04124_W-R214-F10_K19_S299	189.938	44010	95990	23751	6060	0	4	19	0	0	0.000	0.000	0.000	16.000	92.000	278.000	0.794	0.672	0.672	0.485	43854	36094	7622	38
RR065e_04125_W-R214-G10_M19_S301	391.543	86462	502552	20130	9653	0	15	11	0	0	0.000	0.000	0.000	5.000	34.000	292.000	0.675	0.520	0.520	0.371	86194	76938	9098	64
RR065e_04126_W-R214-H10_O19_S303	2582.298	565911	1520202	28818	1033	0	3	22	0	0	2.000	15.000	164.000	696.000	1885.000	3549.000	0.964	0.935	0.935	0.923	564308	510514	53646	234
RR065e_04127_W-R214-A11_A21_S321	1602.305	352197	530290	29133	716	0	1	15	0	0	0.000	120.000	310.000	905.000	1535.000	2220.000	0.974	0.964	0.964	0.953	351269	315762	35264	152
RR065e_04128_W-R214-B11_C21_S323	5956.633	1392767	1885652	29842	57	0	2	30	0	0	119.000	1090.000	1862.600	3713.000	5792.000	7706.000	0.998	0.997	0.997	0.994	1387440	1119220	267180	2322
RR065e_04129_W-R214-C11_E21_S325	100.662	22669	251546	20576	9197	0	16	12	0	0	0.000	0.000	0.000	4.000	28.000	123.000	0.689	0.489	0.489	0.282	22592	19500	2938	8
RR065e_04130_W-R214-D11_G21_S327	4288.881	979927	1852252	28659	1204	0	2	23	0	0	1.000	15.000	130.200	1362.000	3577.000	6344.500	0.958	0.929	0.929	0.906	976505	821712	154232	1188
RR065e_04131_W-R214-E11_I21_S329	192.372	44655	940412	17221	12570	0	12	13	0	0	0.000	0.000	0.000	2.000	16.000	139.000	0.576	0.436	0.436	0.296	44504	36468	7816	44
RR065e_04132_W-R214-F11_K21_S331	3.229	741	410028	1531	25627	0	3	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.051	0.014	0.014	0.010	741	654	64	6
RR065e_04133_W-R214-G11_M21_S333	0.749	172	404634	668	28396	0	1	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.010	0.010	0.000	171	146	22	0
RR065e_04134_W-R214-H11_O21_S335	12.039	2620	2379726	3600	25653	0	1	3	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.121	0.059	0.059	0.039	2616	2398	198	0
RR065e_04135_W-R214-A12_A23_S353	32.136	6953	1132044	11774	17986	0	22	11	0	0	0.000	0.000	0.000	0.000	5.000	28.000	0.395	0.243	0.243	0.090	6931	6428	412	6
RR065e_04136_W-R214-B12_C23_S355	5696.555	1317249	1825218	29422	430	0	5	17	0	0	6.000	41.000	329.000	2264.500	5086.000	8263.500	0.984	0.962	0.962	0.929	1312078	1070798	239892	3284
RR065e_04137_W-R214-C12_E23_S357	0.000	0	16338	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0
RR065e_04138_W-R214-D12_G23_S359	1422.390	322420	913550	27477	2329	0	7	27	0	0	0.000	4.000	18.000	162.000	670.000	1997.000	0.919	0.880	0.880	0.810	321264	273592	47188	440
RR065e_04139_W-R214-E12_I23_S361	3074.850	704021	2275520	28720	1179	0	2	28	0	0	2.000	41.100	170.000	669.500	1949.000	3811.500	0.961	0.953	0.953	0.934	701396	589576	110968	1462
RR065e_04140_W-R214-F12_K23_S363	0.306	72	320844	283	15754	0	1	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	71	56	12	0
RR065e_04141_W-R214-G12_M23_S365	0.106	24	349528	87	28003	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	24	24	0	0
RR066e_01757_W-R216-A1_A02_S17	6331.585	1394057	1873226	29675	182	0	2	23	0	0	22.000	491.000	1656.000	3601.000	5717.000	8474.000	0.992	0.989	0.989	0.978	1390219	1240702	149566	610
RR066e_01758_W-R216-B1_C02_S19	3900.004	929947	1472902	29632	224	0	2	23	0	0	14.020	799.000	1473.000	2633.000	3747.000	4948.000	0.991	0.989	0.989	0.981	926810	719540	206390	1684
RR066e_01759_W-R216-C1_E02_S21	31.501	7101	684734	8306	20733	0	3	4	0	2	0.000	0.000	0.000	0.000	0.000	22.000	0.278	0.228	0.228	0.089	7079	5946	1050	2
RR066e_01760_W-R216-D1_G02_S23	3584.240	843482	1178886	29715	134	0	1	17	0	0	25.000	834.200	1424.200	2348.000	3432.000	4600.000	0.994	0.989	0.989	0.987	840565	673182	166718	1108
RR066e_01761_W-R216-E1_I02_S25	2243.681	527418	900534	29618	241	0	2	28	0	0	17.000	122.100	621.000	1187.000	2105.000	3012.000	0.991	0.982	0.982	0.959	525353	419886	105012	720
RR066e_01762_W-R216-F1_K02_S27	1144.409	267261	1410798	29696	158	0	11	18	0	0	14.000	59.000	140.000	370.000	789.000	1595.000	0.994	0.980	0.980	0.920	266283	214166	51676	314
RR066e_01763_W-R216-G1_M02_S29	3543.456	774697	2329762	29471	343	0	2	20	0	0	4.000	89.000	410.000	1100.000	2846.000	5199.000	0.986	0.964	0.964	0.949	772430	700126	71928	376
RR066e_01764_W-R216-H1_O02_S31	6931.596	1504813	2473762	29853	49	0	1	24	0	0	1025.040	2117.000	2877.200	4435.000	6538.000	8928.000	0.998	0.998	0.998	0.996	1500266	1382256	117866	630
RR066e_01765_W-R216-A2_A04_S49	5388.656	1190239	2471480	29322	543	0	1	22	0	0	2.000	279.100	970.000	2920.000	5058.000	7298.000	0.981	0.970	0.970	0.959	1186879	1050336	136244	494
RR066e_01766_W-R216-B2_C04_S51	1.033	240	320920	691	14153	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.016	0.016	0.000	239	188	40	0
RR066e_01767_W-R216-C2_E04_S53	716.764	160967	567342	28940	868	0	8	16	0	0	0.000	17.000	42.000	151.000	451.000	1010.000	0.968	0.922	0.922	0.808	160482	137494	22792	104
