sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04869_W-R267-B11_D21_S324	7465.100	1735701	3096096	29848	4	0	1	25	0	0	189.000	859.000	1480.000	3357.000	6288.000	9970.000	0.998	0.998	0.998	0.996	1729116	1403214	324046	3188
RR065e_04870_W-R267-C11_F21_S326	4.922	1200	5110	1383	20982	0	1	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.041	0.041	0.015	1198	842	296	0
RR065e_04871_W-R267-D11_H21_S328	21.974	5146	245562	10450	19354	0	7	5	0	1	0.000	0.000	0.000	0.000	0.000	26.000	0.350	0.231	0.231	0.065	5137	4124	916	2
RR065e_04872_W-R267-E11_J21_S330	3955.950	887818	1146312	29847	8	0	0	24	0	0	331.000	1020.000	1371.000	2209.000	3440.000	5378.500	0.998	0.996	0.996	0.996	884939	768194	116412	320
RR065e_04873_W-R267-F11_L21_S332	2564.226	571427	695250	29802	40	0	0	13	0	0	54.000	403.000	616.000	1006.000	1752.000	3640.000	0.997	0.996	0.996	0.989	569568	498972	70316	250
RR065e_04874_W-R267-G11_N21_S334	2676.535	599147	863860	29683	146	0	1	23	0	0	13.000	542.000	907.000	1482.500	2427.000	3493.500	0.993	0.981	0.981	0.978	597049	521578	75326	156
RR065e_04875_W-R267-H11_P21_S336	1796.488	407794	971568	29705	113	0	0	17	0	0	12.000	155.100	325.000	762.000	1472.000	2415.000	0.993	0.986	0.986	0.964	406395	348096	58088	114
RR065e_04876_W-R267-A12_B23_S354	5120.125	1151986	1311864	29629	234	0	1	25	0	0	11.000	1275.100	2001.000	3193.500	4828.000	6661.000	0.991	0.988	0.988	0.983	1148151	994194	153470	692
RR065e_04877_W-R267-B12_D23_S356	234.633	55496	171538	28351	1451	0	14	18	0	0	0.000	9.000	20.000	58.000	140.000	309.000	0.949	0.864	0.864	0.607	55275	43912	11166	44
RR065e_04878_W-R267-C12_F23_S358	5824.069	1309300	1595178	29814	31	0	0	20	0	0	230.000	1672.000	2245.000	3429.500	5137.000	7725.500	0.997	0.997	0.997	0.996	1305185	1128184	176552	696
RR065e_04879_W-R267-D12_H23_S360	4039.683	916450	1157548	29610	249	0	1	28	0	0	11.000	722.100	1143.200	1917.000	3155.000	5431.000	0.990	0.987	0.987	0.980	913327	774780	138118	514
RR065e_04880_W-R267-E12_J23_S362	7.178	1655	61106	6214	18346	0	4	6	0	3	0.000	0.000	0.000	0.000	0.000	4.000	0.208	0.086	0.086	0.006	1648	1328	264	0
RR065e_04881_W-R267-F12_L23_S364	14.077	3216	127384	7849	21767	0	3	6	0	1	0.000	0.000	0.000	0.000	0.000	11.000	0.263	0.139	0.139	0.034	3207	2656	470	0
RR065e_04882_W-R267-G12_N23_S366	84.786	19285	476368	18403	11304	0	12	9	0	1	0.000	0.000	0.000	0.000	26.000	106.000	0.616	0.482	0.482	0.262	19221	16206	2856	0
RR065e_04883_W-R267-H12_P23_S368	828.618	186510	658838	29380	428	0	7	27	0	0	0.000	51.000	89.000	247.000	614.000	1150.000	0.983	0.966	0.966	0.887	185917	159832	25984	34
RR066e_02575_W-R266-A1_A01_S1	2014.645	471027	1833120	28991	832	0	2	25	0	0	0.000	25.000	66.000	361.000	1227.000	3006.500	0.970	0.945	0.945	0.859	468682	382062	85604	1394
RR066e_02576_W-R266-B1_C01_S3	4159.150	951504	1380454	29677	152	0	0	20	0	0	22.000	857.200	1602.000	2577.000	4027.000	5510.000	0.992	0.989	0.989	0.981	947607	784590	162050	1494
RR066e_02577_W-R266-C1_E01_S5	12831.520	2960629	4240356	29856	10	0	1	25	0	0	253.000	4129.200	5783.000	8571.500	12520.000	16386.500	0.998	0.998	0.998	0.997	2949113	2435564	510816	5086
RR066e_02578_W-R266-D1_G01_S7	1774.712	408086	1639982	29386	458	0	4	24	0	0	7.000	66.000	110.000	438.000	1165.000	2524.000	0.983	0.980	0.980	0.910	406605	337858	68278	552
RR066e_02579_W-R266-E1_I01_S9	3852.341	867223	1044224	29814	40	0	0	20	0	0	47.000	849.000	1278.200	2138.500	3481.000	5006.500	0.997	0.996	0.996	0.989	864020	751300	112378	414
